task_seq,task_id,concurrent_count
1,1,1
2,9,2
3,17,3
4,25,4
5,33,5
6,41,6
7,49,7
8,57,8
9,65,9
10,73,10
11,81,11
12,89,12
13,97,13
14,105,14
15,113,15
16,121,16
17,129,17
18,137,18
19,145,19
20,153,20
21,161,20
22,169,20
23,177,20
24,185,20
25,193,20
26,201,20
27,209,20
28,217,20
29,225,20
30,233,20
31,241,20
32,249,20
33,257,20
34,265,20
35,273,20
36,281,20
37,289,20
38,297,20
39,305,20
40,313,20
41,321,20
42,329,20
43,337,20
44,345,20
45,353,20
46,361,20
47,369,20
48,377,20
49,385,20
50,393,20
51,401,20
52,409,20
53,417,20
54,425,20
55,433,20
56,441,20
57,457,20
58,465,20
59,473,20
60,489,20
61,497,20
62,505,20
63,513,20
64,542,20
65,568,20
66,585,20
67,602,20
68,622,20
69,633,20
70,644,20
71,655,20
72,669,20
73,680,20
74,691,20
75,699,20
76,710,20
77,721,20
78,735,20
79,746,20
80,760,20
81,774,20
82,785,20
83,796,20
84,810,20
85,818,20
86,826,20
87,840,20
88,848,20
89,859,20
90,870,20
91,878,20
92,889,20
93,897,20
94,908,20
95,924,20
96,932,20
97,946,20
98,954,20
99,982,20
100,993,20
101,1004,20
102,1018,20
103,1051,20
104,1073,20
105,1081,20
106,1089,20
107,1103,20
108,1111,20
109,1122,20
110,1130,20
111,1138,20
112,1146,20
113,1160,20
114,1171,20
115,1185,20
116,1196,21
117,1218,21
118,1232,21
119,1251,21
120,1262,21
121,1270,21
122,1284,21
123,1292,21
124,1300,21
125,1314,21
126,1322,21
127,1333,21
128,1341,21
129,1349,21
130,1357,21
131,1371,21
132,1382,21
133,1396,21
134,1410,21
135,1421,21
136,1432,21
137,1454,21
138,1468,21
139,1479,21
140,1487,21
141,1501,21
142,1520,21
143,1534,21
144,1542,21
145,1561,21
146,1569,21
147,1577,21
148,1591,21
149,1605,21
150,1615,21
151,1632,21
152,1640,21
153,1651,21
154,1665,21
155,1673,21
156,1698,21
157,1706,21
158,1720,21
159,1731,21
160,1739,21
161,1753,21
162,1761,21
163,1772,21
164,1780,21
165,1788,21
166,1796,21
167,1810,21
168,1822,21
169,1833,21
170,1850,21
171,1858,21
172,1869,21
173,1883,21
174,1891,21
175,1905,21
176,1916,21
177,1924,21
178,1938,21
179,1949,21
180,1957,21
181,1971,21
182,1979,21
183,1990,21
184,1998,21
185,2006,21
186,2014,21
187,2042,21
188,2056,21
189,2070,21
190,2078,21
191,2103,21
192,2136,21
193,2147,21
194,2158,21
195,2169,21
196,2177,21
197,2191,21
198,2210,21
199,2218,21
200,2234,21
201,2248,21
202,2262,21
203,2276,21
204,2290,21
205,2323,21
206,2334,21
207,2345,21
208,2356,21
209,2367,21
210,2397,21
211,2411,21
212,2430,21
213,2438,21
214,2446,21
215,2454,21
216,2468,21
217,2482,21
218,2510,21
219,2529,21
220,2543,21
221,2554,21
222,2565,21
223,2587,21
224,2609,21
225,2617,21
226,2631,21
227,2642,21
228,2650,21
229,2658,21
230,2666,21
231,2677,21
232,2688,21
233,2702,21
234,2730,21
235,2738,21
236,2749,21
237,2763,21
238,2774,21
239,2785,21
240,2796,21
241,2807,21
242,2821,21
243,2829,21
244,2851,21
245,2862,21
246,2870,21
247,2878,21
248,2886,21
249,2897,21
250,2936,21
251,2922,21
252,2950,21
253,2958,21
254,2972,21
255,2983,21
256,2994,21
257,3005,21
258,3016,21
259,3030,21
260,3041,21
261,3063,21
262,3071,21
263,3098,21
264,3106,21
265,3117,21
266,3128,21
267,3145,21
268,3159,21
269,3170,21
270,3181,21
271,3192,21
272,3203,21
273,3214,21
274,3228,21
275,3236,21
276,3250,21
277,3261,21
278,3269,21
279,3283,21
280,3302,21
281,3310,21
282,3318,21
283,3326,21
284,3337,21
285,3348,21
286,3365,21
287,3379,21
288,3390,21
289,3401,21
290,3423,21
291,3437,21
292,3448,21
293,3456,21
294,3470,21
295,3481,21
296,3489,21
297,3511,21
298,3522,21
299,3530,21
300,3538,21
301,3560,21
302,3568,21
303,3599,21
304,3610,21
305,3621,21
306,3635,21
307,3657,21
308,3676,21
309,3690,21
310,3701,21
311,3709,21
312,3723,21
313,3731,21
314,3742,21
315,3750,21
316,3758,21
317,3766,21
318,3780,21
319,3788,21
320,3805,21
321,3819,21
322,3841,21
323,3855,21
324,3863,21
325,3888,21
326,3896,21
327,3910,21
328,3929,21
329,3943,21
330,3951,21
331,3962,21
332,3970,21
333,3978,21
334,3986,21
335,4000,21
336,4008,21
337,4025,21
338,4039,21
339,4061,21
340,4075,21
341,4083,21
342,4097,21
343,4108,21
344,4116,21
345,4163,21
346,4171,21
347,4190,21
348,4239,17
349,4247,17
350,4258,16
351,4288,14
352,4307,13
353,4315,13
354,4337,12
355,4345,12
356,4364,13
357,4375,14
358,4397,13
359,4405,14
360,4413,14
361,4427,15
362,4435,15
363,4460,15
364,4479,15
365,4498,15
366,4517,14
367,4525,15
368,4536,16
369,4558,15
370,4566,15
371,4577,15
372,4588,16
373,4599,17
374,4610,16
375,4621,17
376,4643,15
377,4670,15
378,4678,15
379,4689,16
380,4700,16
381,4738,14
382,4746,15
383,4757,15
384,4768,15
385,4779,15
386,4790,15
387,4820,13
388,4828,14
389,4858,14
390,4866,14
391,4877,14
392,4888,14
393,4899,14
394,4921,15
395,4929,16
396,4940,16
397,4948,16
398,4959,16
399,4981,15
400,4992,15
401,5003,16
402,5014,17
403,5025,17
404,5047,17
405,5055,18
406,5066,18
407,5085,17
408,5096,17
409,5107,17
410,5115,18
411,5129,18
412,5137,19
413,5151,19
414,5162,19
415,5173,19
416,5203,17
417,5211,17
418,5222,17
419,5230,17
420,5244,18
421,5255,18
422,5266,18
423,5304,17
424,5323,16
425,5331,15
426,5342,15
427,5353,15
428,5361,15
429,5375,15
430,5386,16
431,5408,16
432,5416,17
433,5446,14
434,5465,13
435,5473,14
436,5484,15
437,5492,16
438,5506,16
439,5514,17
440,5528,17
441,5539,17
442,5550,18
443,5588,14
444,5607,14
445,5615,14
446,5626,15
447,5637,16
448,5648,16
449,5659,17
450,5681,17
451,5700,16
452,5708,15
453,5719,15
454,5730,15
455,5760,14
456,5779,15
457,5787,15
458,5798,16
459,5809,16
460,5818,16
461,5826,16
462,5851,15
463,5870,15
464,5889,15
465,5897,15
466,5908,15
467,5919,16
468,5930,15
469,5941,16
470,5952,17
471,5963,17
472,5985,17
473,6012,16
474,6020,15
475,6031,15
476,6039,16
477,6061,16
478,6072,16
479,6094,16
480,6102,16
481,6113,16
482,6121,16
483,6170,13
484,6178,13
485,6189,14
486,6200,15
487,6211,15
488,6219,15
489,6231,15
490,6253,15
491,6288,13
492,6307,12
493,6326,12
494,6334,13
495,6345,14
496,6353,15
497,6367,15
498,6421,10
499,6440,10
500,6448,11
501,6459,12
502,6497,11
503,6516,11
504,6535,10
505,6570,9
506,6589,10
507,6597,11
508,6619,11
509,6646,9
510,6654,10
511,6665,11
512,6687,11
513,6695,12
514,6717,12
515,6725,12
516,6736,13
517,6747,14
518,6769,14
519,6777,15
520,6788,15
521,6796,15
522,6807,16
523,6832,16
524,6851,16
525,6859,17
526,6889,15
527,6897,15
528,6908,16
529,6919,16
530,6930,16
531,6941,16
532,6952,16
533,6998,14
534,7006,15
535,7014,14
536,7039,14
537,7047,14
538,7069,14
539,7077,15
540,7115,12
541,7134,12
542,7142,11
543,7153,12
544,7183,13
545,7218,11
546,7226,11
547,7248,11
548,7275,10
549,7294,11
550,7313,11
551,7332,10
552,7340,11
553,7362,11
554,7370,11
555,7381,12
556,7403,13
557,7422,12
558,7430,13
559,7441,13
560,7452,14
561,7463,15
562,7474,15
563,7485,16
564,7523,15
565,7531,15
566,7542,15
567,7561,15
568,7572,15
569,7583,15
570,7591,16
571,7605,16
572,7613,17
573,7624,17
574,7638,17
575,7668,15
576,7676,15
577,7687,15
578,7709,16
579,7717,17
580,7728,17
581,7739,17
582,7747,18
