time_ns,concurrent_count
238.00,1
338.00,3
438.00,6
538.00,8
638.00,11
738.00,14
838.00,17
938.00,20
1038.00,18
1138.00,16
1238.00,12
1338.00,10
1438.00,7
1538.00,3
1638.00,3
1738.00,3
1838.00,3
1938.00,3
2038.00,3
2138.00,3
2238.00,3
2338.00,3
2438.00,3
2538.00,3
2638.00,3
2738.00,3
2838.00,3
2938.00,3
3038.00,3
3138.00,3
3238.00,3
3338.00,3
3438.00,3
3538.00,3
3638.00,3
3738.00,3
3838.00,3
3938.00,3
4038.00,3
4138.00,3
4238.00,3
4338.00,3
4438.00,3
4538.00,3
4638.00,3
4738.00,3
4838.00,3
4938.00,3
5038.00,3
5138.00,3
5238.00,3
5338.00,2
5438.00,3
5538.00,4
5638.00,4
5738.00,6
5838.00,7
5938.00,9
6038.00,9
6138.00,10
6238.00,12
6338.00,12
6438.00,17
6538.00,18
6638.00,19
6738.00,19
6838.00,19
6938.00,18
7038.00,19
7138.00,19
7238.00,19
7338.00,19
7438.00,19
7538.00,19
7638.00,15
7738.00,16
7838.00,17
7938.00,17
8038.00,16
8138.00,16
8238.00,17
8338.00,17
8438.00,17
8538.00,17
8638.00,16
8738.00,17
8838.00,16
8938.00,17
9038.00,16
9138.00,19
9238.00,19
9338.00,19
9438.00,18
9538.00,17
9638.00,19
9738.00,20
9838.00,18
9938.00,20
10038.00,19
10138.00,17
10238.00,16
10338.00,13
10438.00,10
10538.00,7
10638.00,5
10738.00,4
