group_index,exec_time_ns
0,2463.00
1,1857.00
2,1857.00
3,1857.00
4,1857.00
5,1857.00
6,1857.00
7,1857.00
8,1857.00
9,1857.00
10,1857.00
11,1857.00
12,1857.00
13,1857.00
14,1862.00
15,1857.00
16,1857.00
17,1857.00
18,1857.00
19,1862.50
20,1863.50
21,1865.50
22,1858.50
23,1857.00
24,1857.00
25,1857.00
26,1858.50
27,1857.00
28,843.00
29,1857.00
30,843.00
31,1857.00
32,1857.00
33,1856.00
34,1857.00
35,1857.00
36,1857.00
37,1857.00
38,1857.00
39,1858.00
40,1857.00
41,1857.00
42,1857.00
43,1858.00
44,1858.00
45,1857.00
46,1857.00
47,1857.00
48,1859.00
49,843.00
50,1859.00
51,843.00
52,1856.00
53,1858.00
54,1857.00
55,1857.00
56,843.00
57,843.00
58,1865.00
59,1861.00
60,843.00
61,843.00
62,843.00
63,843.00
64,1857.00
65,1857.00
66,1857.00
67,1857.00
68,1857.00
69,1857.00
70,1857.00
71,1858.00
72,1857.50
73,1857.00
74,1857.00
75,1857.00
76,1857.00
77,1857.00
78,1857.00
79,1857.00
80,1857.00
81,1857.50
82,1857.00
83,849.50
84,1857.00
85,1857.00
86,1857.50
87,1857.00
88,843.00
89,1857.00
90,843.00
91,1858.50
92,843.00
93,843.00
94,1857.00
95,1857.00
96,1857.00
97,845.00
98,1857.00
99,1863.00
100,845.50
101,1857.00
102,1857.00
103,1857.00
104,1857.00
105,1857.00
106,1857.00
107,1857.00
108,1857.00
109,1857.00
110,843.00
111,1857.00
112,1857.00
113,1859.00
114,847.00
115,1857.00
116,1858.00
117,1857.00
118,843.00
119,843.00
120,1857.00
121,1866.50
122,845.50
123,846.50
124,1857.00
125,843.00
126,843.00
127,846.00
128,1857.00
129,843.00
130,1857.00
131,1857.00
132,843.00
133,1858.50
134,843.00
135,1863.00
136,849.00
137,1862.00
138,843.00
139,1857.00
140,843.00
141,843.00
142,843.00
143,843.00
144,857.50
145,1857.00
146,843.00
147,1857.00
148,1857.00
149,1858.50
150,845.50
151,1857.50
152,1858.50
153,846.50
154,1857.00
155,1861.00
156,843.00
157,843.00
158,1857.00
159,1857.00
160,1860.00
161,844.00
162,849.50
163,847.50
164,843.00
165,1857.00
166,1857.00
167,849.00
168,1857.00
169,1857.00
170,847.00
171,1857.00
172,1861.00
173,1857.00
174,843.00
175,1857.00
176,843.00
177,843.00
178,845.00
179,1858.50
180,1857.50
181,1857.00
182,1857.00
183,1857.00
184,1857.00
185,1857.00
186,843.00
187,1857.00
188,1857.00
189,1863.50
190,843.00
191,1857.00
192,844.50
193,848.00
194,846.50
195,1861.00
196,843.00
197,843.00
198,1857.00
199,1857.00
200,1857.00
201,1857.00
202,1860.00
203,843.00
