index,interval_ns
0,3397.00
1,2712.00
2,44.00
3,44.00
4,44.00
5,44.00
6,44.00
7,44.00
8,44.00
9,44.00
10,44.00
11,44.00
12,44.00
13,44.00
14,49.00
15,39.00
16,44.00
17,36.00
18,40.00
19,41.50
20,41.00
21,38.00
22,33.00
23,34.50
24,40.00
25,36.00
26,41.50
27,34.50
28,31.00
29,750.00
30,44.00
31,44.00
32,43.00
33,45.00
34,44.00
35,88.00
36,44.00
37,44.00
38,44.00
39,44.00
40,44.00
41,49.00
42,39.00
43,44.00
44,36.00
45,40.00
46,41.50
47,44.00
48,36.00
49,32.00
50,34.50
51,40.00
52,36.00
53,41.50
54,34.50
55,31.00
56,750.00
57,44.00
58,44.00
59,43.00
60,45.00
61,44.00
62,88.00
63,44.00
64,44.00
65,44.00
66,45.00
67,43.00
68,49.00
69,40.00
70,48.00
71,31.00
72,40.00
73,41.50
74,44.00
75,44.00
76,21.50
77,3.50
78,32.50
79,41.00
80,36.00
81,19.00
82,22.50
83,34.50
84,31.00
85,44.00
86,706.00
87,88.00
88,43.00
89,89.00
90,132.00
91,44.00
92,44.00
93,46.00
94,42.00
95,49.50
96,39.50
97,48.50
98,30.50
99,40.00
100,41.50
101,44.00
102,44.00
103,21.50
104,8.00
105,28.00
106,41.00
107,36.00
108,19.00
109,22.50
110,34.50
111,31.00
112,44.00
113,90.50
114,87.50
115,42.00
116,367.00
117,119.00
118,27.50
119,60.50
120,43.00
121,89.00
122,7.50
123,124.50
124,88.00
125,137.50
126,39.50
127,64.50
128,14.50
129,40.00
130,41.50
131,44.00
132,52.00
133,14.00
134,35.50
135,41.00
136,36.00
137,19.50
138,67.50
139,28.00
140,36.00
141,178.00
142,42.00
143,52.00
144,315.00
145,119.00
146,7.00
147,21.00
148,60.00
149,13.00
150,30.00
151,89.00
152,8.00
153,124.00
154,57.00
155,31.00
156,177.00
157,64.50
158,14.50
159,40.00
160,41.50
161,44.00
162,52.00
163,14.00
164,35.50
165,41.00
166,13.50
167,22.50
168,71.00
169,16.00
170,64.00
171,101.00
172,31.00
173,46.00
174,42.00
175,168.00
176,84.00
177,41.50
178,68.00
179,5.50
180,28.00
181,41.00
182,36.00
183,21.50
184,1.50
185,19.00
186,29.00
187,31.00
188,13.00
189,124.00
190,13.00
191,114.00
192,5.00
193,260.50
194,39.50
195,24.50
196,49.50
197,5.00
198,16.00
199,41.00
200,36.00
201,27.00
202,17.50
203,26.50
204,31.00
205,13.00
206,33.50
207,93.00
208,16.50
209,64.00
210,44.00
211,88.00
212,46.00
213,131.50
214,64.00
215,18.50
216,31.00
217,5.00
218,44.00
219,93.50
220,16.00
221,10.50
222,31.00
223,94.50
224,16.50
225,210.00
226,132.50
227,286.50
228,61.50
229,10.50
230,24.50
231,6.50
232,33.00
233,36.00
234,26.00
235,2.00
236,14.00
237,73.00
238,38.00
239,88.50
240,12.00
241,29.00
242,39.50
243,44.00
244,88.00
245,46.00
246,131.50
247,67.00
248,15.50
249,27.50
250,1.50
251,2.00
252,15.50
253,39.00
254,43.50
255,56.00
256,185.50
257,81.50
258,242.50
259,66.00
260,82.50
261,51.50
262,39.00
263,51.00
264,43.50
265,39.50
266,14.50
267,25.00
268,68.00
269,2.00
270,8.00
271,28.50
272,44.50
273,48.50
274,90.00
275,30.00
276,83.50
277,38.00
278,49.00
279,46.00
280,43.00
281,150.00
282,5.50
283,43.00
284,8.00
285,8.50
286,9.50
287,76.00
288,31.50
289,12.00
290,71.00
291,54.50
292,154.50
293,87.00
294,43.00
295,89.00
296,88.50
297,62.00
298,48.00
299,8.00
300,8.50
301,7.50
302,39.00
303,39.00
304,31.50
305,12.00
306,12.00
307,54.50
308,4.50
309,33.50
310,65.00
311,28.00
312,82.50
313,100.50
314,30.50
315,1.50
316,95.50
317,79.50
318,43.50
319,90.50
320,78.00
321,27.00
322,4.50
323,24.00
324,39.50
325,53.00
326,175.50
327,16.50
328,114.50
329,127.00
330,49.50
331,89.50
332,44.50
333,107.50
334,2.00
335,1.50
336,22.50
337,13.50
338,8.00
339,16.00
340,2.00
341,37.00
342,16.00
343,66.50
344,66.50
345,13.50
346,29.00
347,63.50
348,25.00
349,42.50
350,127.00
351,13.50
352,42.00
353,85.50
354,1.50
355,41.00
356,80.50
357,35.00
358,4.00
359,14.00
360,39.00
361,2.50
362,35.00
363,16.00
364,23.00
365,46.00
366,70.00
367,10.00
368,26.50
369,187.50
370,70.50
371,13.50
372,42.00
373,165.00
374,43.50
375,94.50
376,1.50
377,33.50
378,68.50
379,16.50
380,24.50
381,12.00
382,33.50
383,10.00
384,26.50
385,187.50
386,51.50
387,19.00
388,4.00
389,9.50
390,30.50
391,220.00
392,51.00
393,5.00
394,38.50
395,35.00
396,68.50
397,8.00
398,8.00
399,1.50
400,8.50
401,27.00
402,39.00
403,5.00
404,21.50
405,4.50
406,18.50
407,224.00
408,23.50
409,5.50
410,31.50
411,182.00
412,43.00
413,45.00
414,5.00
415,71.50
416,2.00
417,76.50
418,8.00
419,12.00
420,25.00
421,14.50
422,8.00
423,24.00
424,1.50
425,25.50
426,87.00
427,154.50
428,21.00
429,5.50
430,87.00
431,70.50
432,57.50
433,86.50
434,77.50
435,3.00
436,82.50
437,2.00
438,10.00
439,25.00
440,14.50
441,8.00
442,102.00
443,22.00
444,92.50
445,25.00
446,288.00
447,176.50
448,44.00
449,41.50
450,5.00
451,24.00
452,14.50
453,110.50
454,60.50
455,33.00
456,12.00
457,8.50
458,5.50
459,19.50
460,67.50
461,154.50
462,21.00
463,8.00
464,37.00
465,47.50
466,72.00
467,57.00
468,2.00
469,42.00
470,41.50
471,1.50
472,3.50
473,24.00
474,18.50
475,30.00
476,84.00
477,3.00
478,10.50
479,39.50
480,8.00
481,25.00
482,12.00
483,8.50
484,5.50
485,19.50
486,53.50
487,18.50
488,150.00
489,29.00
490,84.50
491,137.00
492,77.50
493,4.00
494,4.00
495,21.00
496,21.00
497,27.50
498,90.00
499,2.00
500,5.50
501,39.50
502,8.00
503,37.00
504,11.00
505,3.00
506,19.50
507,53.50
508,171.00
509,26.50
510,163.00
511,52.00
512,6.50
513,77.50
514,4.00
515,4.00
516,20.50
517,21.50
518,30.00
519,5.50
520,48.50
521,49.50
522,31.00
523,45.00
524,11.00
525,8.00
526,144.00
527,113.50
528,10.00
529,161.00
530,60.00
531,32.50
532,51.50
533,20.50
534,105.50
535,49.50
536,16.50
537,14.50
538,45.00
539,11.00
540,8.00
541,60.00
542,10.00
543,45.00
544,70.50
545,56.00
546,16.00
547,152.50
548,18.50
549,144.00
550,79.00
551,84.00
552,12.00
553,1.50
554,15.50
555,14.50
556,6.50
557,30.00
558,13.00
559,6.50
560,68.00
561,55.00
562,70.50
563,56.00
564,16.00
565,57.50
566,95.00
567,18.50
568,10.00
569,134.00
570,79.00
571,8.00
572,32.50
573,43.50
574,25.00
575,3.50
576,1.50
577,21.50
578,41.50
579,6.50
580,35.00
581,33.50
582,104.00
583,6.50
584,14.50
585,55.50
586,1.50
587,186.00
588,239.00
589,24.50
590,43.50
591,25.00
592,4.00
593,4.00
594,18.50
595,41.50
596,6.50
597,36.50
598,35.00
599,12.00
600,31.50
601,36.50
602,25.00
603,2.50
604,15.00
605,55.00
606,4.00
607,46.50
608,137.00
609,4.50
610,59.00
611,97.50
612,20.00
613,67.00
614,15.50
615,43.50
616,8.00
617,25.00
618,4.00
619,57.50
620,1.50
621,3.50
622,36.50
623,47.00
624,68.00
625,36.00
626,8.00
627,107.00
628,143.00
629,152.00
630,87.50
631,15.00
632,51.50
633,33.00
634,70.00
635,25.00
636,66.00
637,20.50
638,28.50
639,36.00
640,63.00
641,35.50
642,16.50
643,45.00
644,78.50
645,3.50
646,16.00
647,152.00
648,11.50
649,66.50
650,24.50
651,53.00
652,31.50
653,10.00
654,60.00
655,25.00
656,37.50
657,28.50
658,2.00
659,18.50
660,28.50
661,14.50
662,14.50
663,10.00
664,60.50
665,3.50
666,31.50
667,16.50
668,64.00
669,418.00
670,10.00
671,60.00
672,2.00
673,23.00
674,37.50
675,31.00
676,1.50
677,16.50
678,28.50
679,17.50
680,92.00
681,1.50
682,256.00
683,78.50
684,8.00
685,11.50
686,152.00
687,11.50
688,66.50
689,24.50
690,53.00
691,270.50
692,10.00
693,95.50
694,16.50
695,64.00
696,231.00
697,11.50
698,66.50
699,25.00
700,52.50
701,31.50
702,10.00
703,60.00
704,8.00
705,17.00
706,37.50
707,31.00
708,9.00
709,9.00
710,28.50
711,17.50
712,11.50
713,10.00
714,70.50
715,14.00
716,11.00
717,16.50
718,64.00
719,158.50
720,72.00
721,11.00
722,2.00
723,6.50
724,64.00
725,21.50
726,61.00
727,21.50
728,10.00
729,68.00
730,17.00
731,42.50
732,26.00
733,9.00
734,9.50
735,28.00
736,19.00
737,20.00
738,70.50
739,17.00
740,8.00
741,241.50
742,80.50
743,94.00
744,66.00
745,1.50
746,25.00
747,127.50
748,26.00
749,9.00
750,9.50
751,28.00
752,19.00
753,12.00
754,78.50
755,17.00
756,75.00
757,120.50
758,55.50
759,8.50
760,70.50
761,94.00
762,66.00
763,7.50
764,1.50
765,6.00
766,12.50
767,1.50
768,54.50
769,70.50
770,26.00
771,7.50
772,1.50
773,9.50
774,29.50
775,49.00
776,1.50
777,1.50
778,2.50
779,53.50
780,17.00
781,78.00
782,9.00
783,94.50
784,14.00
785,55.50
786,8.50
787,73.00
788,91.50
789,74.00
790,7.50
791,172.50
792,4.00
793,42.00
794,43.00
795,4.00
796,55.00
797,17.00
798,84.50
799,97.00
800,69.50
801,8.50
802,74.00
803,90.50
804,74.50
805,7.00
806,163.00
807,12.00
808,12.00
809,4.00
810,33.50
811,16.00
812,29.00
813,40.00
814,26.00
815,2.00
816,16.50
817,87.00
818,7.50
819,70.50
