index,latency_ns
0,4082.00
1,2463.00
2,1857.00
3,1857.00
4,1857.00
5,1857.00
6,1857.00
7,1857.00
8,1857.00
9,1857.00
10,1857.00
11,1857.00
12,1857.00
13,1857.00
14,1857.00
15,1862.00
16,1857.00
17,1857.00
18,1857.00
19,1857.00
20,1862.50
21,1863.50
22,1865.50
23,1858.50
24,1857.00
25,1857.00
26,1857.00
27,1858.50
28,1857.00
29,843.00
30,1857.00
31,843.00
32,1857.00
33,1857.00
34,1856.00
35,1857.00
36,1857.00
37,1857.00
38,1857.00
39,1857.00
40,1858.00
41,1857.00
42,1857.00
43,1857.00
44,1858.00
45,1858.00
46,1857.00
47,1857.00
48,1857.00
49,1859.00
50,843.00
51,1859.00
52,843.00
53,1856.00
54,1858.00
55,1857.00
56,1857.00
57,843.00
58,843.00
59,1865.00
60,1861.00
61,843.00
62,843.00
63,843.00
64,843.00
65,1857.00
66,1857.00
67,1857.00
68,1857.00
69,1857.00
70,1857.00
71,1857.00
72,1858.00
73,1857.50
74,1857.00
75,1857.00
76,1857.00
77,1857.00
78,1857.00
79,1857.00
80,1857.00
81,1857.00
82,1857.50
83,1857.00
84,849.50
85,1857.00
86,1857.00
87,1857.50
88,1857.00
89,843.00
90,1857.00
91,843.00
92,1858.50
93,843.00
94,843.00
95,1857.00
96,1857.00
97,1857.00
98,845.00
99,1857.00
100,1863.00
101,845.50
102,1857.00
103,1857.00
104,1857.00
105,1857.00
106,1857.00
107,1857.00
108,1857.00
109,1857.00
110,1857.00
111,843.00
112,1857.00
113,1857.00
114,1859.00
115,847.00
116,1857.00
117,1858.00
118,1857.00
119,843.00
120,843.00
121,1857.00
122,1866.50
123,845.50
124,846.50
125,1857.00
126,843.00
127,843.00
128,846.00
129,1857.00
130,843.00
131,1857.00
132,1857.00
133,843.00
134,1858.50
135,843.00
136,1863.00
137,849.00
138,1862.00
139,843.00
140,1857.00
141,843.00
142,438.00
143,843.00
144,843.00
145,843.00
146,857.50
147,1857.00
148,843.00
149,1857.00
150,1857.00
151,1858.50
152,845.50
153,1857.50
154,1858.50
155,846.50
156,1857.00
157,1861.00
158,843.00
159,843.00
160,1857.00
161,1857.00
162,1860.00
163,844.00
164,849.50
165,847.50
166,843.00
167,1857.00
168,1857.00
169,849.00
170,1857.00
171,1857.00
172,847.00
173,1857.00
174,1861.00
175,1857.00
176,843.00
177,1857.00
178,843.00
179,843.00
180,845.00
181,1858.50
182,1857.50
183,1857.00
184,1857.00
185,1857.00
186,1857.00
187,1857.00
188,843.00
189,1857.00
190,1857.00
191,1863.50
192,843.00
193,1857.00
194,844.50
195,848.00
196,846.50
197,1861.00
198,843.00
199,843.00
200,1857.00
201,1857.00
202,1857.00
203,1857.00
204,1860.00
205,843.00
206,1861.00
207,843.00
208,843.00
209,1860.50
210,845.50
211,1857.00
212,1858.50
213,1857.00
214,1857.00
215,843.00
216,1859.50
217,1862.50
218,846.50
219,1857.00
220,1857.00
221,843.00
222,848.50
223,1857.00
224,1857.00
225,843.00
226,1857.00
227,1857.00
228,843.00
229,1866.50
230,843.00
231,1859.50
232,1857.00
233,1857.00
234,1857.00
235,843.00
236,851.00
237,1857.00
238,849.50
239,1863.00
240,1859.50
241,1862.00
242,844.50
243,847.00
244,843.00
245,843.00
246,843.00
247,1859.50
248,1864.50
249,1857.50
250,843.00
251,846.50
252,1865.00
253,843.00
254,843.00
255,843.00
256,843.00
257,1857.50
258,1865.50
259,843.50
260,843.00
261,843.00
262,1857.00
263,1857.00
264,846.00
265,843.00
266,846.00
267,843.50
268,849.00
269,852.00
270,848.50
271,843.00
272,1862.50
273,1857.00
274,853.50
275,1865.50
276,1860.00
277,843.00
278,843.00
279,851.50
280,846.00
281,1865.50
282,1858.00
283,845.50
284,843.00
285,1863.00
286,843.00
287,843.00
288,843.00
289,1865.50
290,843.00
291,843.00
292,845.50
293,844.00
294,843.00
295,843.00
296,843.00
297,843.00
298,843.00
299,843.00
300,1861.69
301,844.00
302,844.69
303,843.00
304,1857.00
305,845.50
306,843.19
307,1857.19
308,843.00
309,843.00
310,843.00
311,844.31
312,843.00
313,843.00
314,1859.00
315,844.81
316,847.31
317,1857.00
318,847.50
319,843.50
320,1857.00
321,845.31
322,1857.50
323,849.81
324,848.31
325,1857.50
326,844.00
327,843.50
328,1857.50
329,851.00
330,1857.00
331,843.00
332,1857.00
333,843.00
334,843.00
335,843.00
336,844.00
337,1857.31
338,843.00
339,843.00
340,1861.81
341,843.00
342,1857.00
343,849.00
344,847.00
345,848.00
346,849.00
347,843.00
348,843.00
349,1863.50
350,1861.50
351,843.00
352,843.50
353,1858.50
354,843.00
355,843.00
356,1861.50
357,843.00
358,843.00
359,1867.50
360,843.00
361,843.00
362,1861.50
363,843.00
364,1857.00
365,844.00
366,1857.00
367,843.00
368,849.50
369,847.50
370,850.00
371,843.00
372,1857.00
373,843.00
374,843.00
375,843.00
376,843.00
377,843.00
378,852.00
379,843.00
380,1857.00
381,843.00
382,849.00
383,848.00
384,843.00
385,843.00
386,848.69
387,848.69
388,843.50
389,843.00
390,1857.00
391,843.00
392,1857.00
393,843.00
394,843.00
395,843.00
396,843.00
397,843.00
398,843.00
399,849.00
400,848.19
401,843.00
402,845.00
403,1857.50
404,843.69
405,843.00
406,1857.00
407,844.00
408,1857.00
409,1858.50
410,843.00
411,843.00
412,843.00
413,1866.00
414,1858.50
415,843.00
416,843.00
417,843.00
418,843.00
419,844.50
420,1861.00
421,843.00
422,843.00
423,843.00
424,843.00
425,843.00
426,843.00
427,843.00
428,848.75
429,850.19
430,844.25
431,1863.50
432,843.00
433,843.00
434,843.00
435,844.31
436,843.00
437,846.31
438,843.00
439,843.00
440,848.50
441,843.00
442,851.81
443,1857.00
444,845.00
445,843.00
446,843.00
447,847.00
448,843.00
449,847.00
450,847.69
451,843.00
452,843.00
453,843.00
454,843.00
455,843.00
456,846.81
457,851.50
458,843.00
459,843.00
460,847.00
461,1857.00
462,850.69
463,849.50
464,847.00
465,847.00
466,843.69
467,848.50
468,843.00
469,843.31
470,1857.31
471,843.00
472,843.00
473,843.00
474,843.00
475,843.00
476,848.00
477,845.00
478,843.00
479,851.50
480,843.00
481,1857.00
482,851.19
483,848.69
484,843.00
485,843.00
486,843.00
487,843.00
488,843.00
489,846.31
490,851.00
491,843.00
492,1858.69
493,843.00
494,1860.69
495,847.81
496,843.00
497,845.31
498,848.81
499,1863.19
500,843.00
501,849.50
502,843.50
503,1857.00
504,843.00
505,843.00
506,844.69
507,844.19
508,843.00
509,846.19
510,843.00
511,848.50
512,843.00
513,843.00
514,843.00
515,843.00
516,1857.00
517,843.31
518,843.00
519,1862.81
520,843.00
521,847.50
522,848.50
523,1859.69
524,843.31
525,843.00
526,843.00
527,843.31
528,1857.00
529,848.81
530,847.75
531,843.00
532,843.00
533,843.00
534,1858.69
535,843.00
536,843.00
537,846.00
538,848.00
539,1861.25
540,846.69
541,843.00
542,843.00
543,843.19
544,843.00
545,848.75
546,843.00
547,1862.81
548,843.00
549,848.31
550,843.00
551,847.00
552,1858.56
553,849.31
554,843.00
555,1857.00
556,1859.50
557,844.31
558,851.50
559,843.00
560,843.00
561,843.00
562,843.00
563,848.69
564,843.00
565,843.69
566,843.00
567,843.25
568,849.69
569,845.00
570,845.69
571,846.69
572,849.00
573,843.00
574,843.00
575,843.00
576,843.00
577,843.00
578,845.00
579,1859.50
580,843.00
581,843.00
582,844.56
583,843.00
584,1861.50
585,845.50
586,843.00
587,850.50
588,848.50
589,847.00
590,847.00
591,843.00
592,1857.69
593,846.00
594,843.00
595,849.00
596,1863.69
597,843.00
598,843.00
599,1860.44
600,843.00
601,843.00
602,843.00
603,843.00
604,846.00
605,844.00
606,848.00
607,845.50
608,843.00
609,843.00
610,849.00
611,848.00
612,843.00
613,847.00
614,843.00
615,846.00
616,847.00
617,849.50
618,843.00
619,843.00
620,849.00
621,843.00
622,1857.00
623,844.00
624,843.00
625,1857.00
626,846.00
627,1858.00
628,849.50
629,843.00
630,843.00
631,843.00
632,849.00
633,849.50
634,843.00
635,847.00
636,843.00
637,843.00
638,843.00
639,843.00
640,843.00
641,849.00
642,843.00
643,844.00
644,847.50
645,851.50
646,844.00
647,848.50
648,845.00
649,843.00
650,843.00
651,845.00
652,843.00
653,843.00
654,846.00
655,843.00
656,1859.50
657,847.00
658,847.00
659,843.00
660,847.00
661,847.00
662,843.00
663,1859.50
664,843.00
665,843.00
666,843.00
667,843.00
668,843.00
669,1858.00
670,1857.00
671,843.00
672,843.50
673,847.50
674,843.50
675,845.00
676,843.00
677,843.00
678,843.00
679,843.00
680,1858.00
681,1857.00
682,843.00
683,849.25
684,843.00
685,1857.00
686,847.75
687,843.00
688,845.25
689,848.75
690,843.00
691,843.00
692,1862.75
693,843.00
694,846.25
695,1863.00
696,848.75
697,843.00
698,843.00
699,843.00
700,845.50
701,847.25
702,843.25
703,843.00
704,843.00
705,843.00
706,849.00
707,847.50
708,843.00
709,844.50
710,848.75
711,843.00
712,843.00
713,1861.25
714,843.00
715,843.00
716,843.00
717,843.00
718,843.00
719,843.00
720,1857.00
721,848.00
722,1857.00
723,843.00
724,843.00
725,1857.00
726,843.00
727,844.00
728,843.00
729,1857.00
730,843.00
731,843.00
732,843.00
733,843.00
734,1857.00
735,848.75
736,843.00
737,843.00
738,843.00
739,843.00
740,843.00
741,843.00
742,847.00
743,1858.50
744,848.00
745,843.00
746,843.00
747,844.50
748,843.00
749,843.00
750,843.00
751,843.00
752,843.00
753,843.00
754,845.50
755,843.00
756,843.00
757,843.00
758,843.00
759,843.00
760,1857.00
761,843.00
762,843.00
763,845.00
764,843.00
765,847.00
766,843.00
767,843.00
768,843.00
769,843.00
770,843.00
771,1857.00
772,843.00
773,843.00
774,843.00
775,844.00
776,843.00
777,843.00
778,845.50
779,843.00
780,843.00
781,848.50
782,843.00
783,843.00
784,843.00
785,843.00
786,843.00
787,843.00
788,843.00
789,843.00
790,843.00
791,843.00
792,847.00
793,843.00
794,1857.00
795,843.00
796,843.00
797,1857.00
798,843.00
799,843.00
800,843.00
801,843.00
802,843.00
803,1858.00
804,843.00
805,1857.00
806,847.00
807,847.00
808,843.00
809,843.00
810,843.00
811,843.00
812,848.50
813,846.50
814,843.00
815,843.00
816,843.00
817,843.00
818,843.00
819,843.50
820,843.00
821,843.00
822,843.00
823,843.00
824,843.00
825,843.00
826,843.00
827,843.00
828,1857.00
829,843.00
830,1860.50
831,843.00
832,843.00
833,845.00
834,843.00
835,843.00
836,843.00
837,1857.00
838,843.00
839,843.00
840,848.75
841,843.00
842,845.25
843,843.00
844,844.50
845,843.00
846,844.50
847,843.00
848,845.25
849,848.75
850,844.50
851,843.00
852,848.00
853,844.00
854,843.00
855,1857.25
856,843.00
857,843.00
858,843.00
859,843.00
860,843.00
861,846.00
862,843.00
863,843.00
864,843.00
865,843.00
866,843.00
867,843.00
868,843.00
869,843.00
870,845.25
871,843.00
872,843.00
873,843.00
874,843.00
875,843.00
876,843.00
877,843.00
878,843.00
879,843.00
880,843.00
881,844.50
882,843.50
883,843.00
884,843.00
885,843.00
886,1857.00
887,843.00
888,843.00
889,843.00
890,843.00
891,843.00
892,843.00
893,843.00
894,843.00
895,843.00
896,843.00
897,843.00
